Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1516;AJI;Stang Gergaji Besi Lurus Onat (heavy Duty);1pcs;37.500;0 %;37.500;40.000;0 %;40.000;;
RJ1517;AJI;Stang Gergaji Besi Onat MDL PIPA;LUSIN;225.000;0 %;225.000;20.000;0 %;20.000;;
RJ1178;AJI;Stang Graji Bengkok;PCS;22.500;0 %;22.500;25.000;0 %;25.000;;
RJ1177;AJI;Stang Graji Lurus;PCS;25.000;0 %;25.000;27.500;0 %;27.500;;
RJ1262;AJI;"Tang 7 Knife /potong Blitz Crome 7""9290)";1pcs;40.000;0 %;40.000;45.000;0 %;45.000;;
RJ1275;AJI;"Tang 8Knife /potong Kabel Blitz Crome 8""(290)";1pcs;47.500;0 %;47.500;50.000;0 %;50.000;;
RJ1277;AJI;Tang Circlip Bengkok Buka Exbent BC Blitz 7;1pcs;37.500;0 %;37.500;40.000;0 %;40.000;;
RJ1278;AJI;"Tang Circlip Bengkok Tutup Inbent BC Blitz 7""";1pcs;37.500;0 %;37.500;40.000;0 %;40.000;;
RJ1279;AJI;"Tang Circlip Lurus Buka Blitz BC 7""(174)";1pcs;37.500;0 %;37.500;40.000;0 %;40.000;;
RJ1280;AJI;"Tang Circlip Lurus Tutup IN Straigth 7""";1pcs;37.500;0 %;37.500;40.000;0 %;40.000;;
RJ1173;AJI;Tang Potong Kramik Camal;PCS;27.500;0 %;27.500;30.000;0 %;30.000;;
RJ1219;AJI;Tang Rivet 9,5 Wanly/vip/tex;PCS;32.500;0 %;32.500;35.000;0 %;35.000;;
RJ 1235;AJI;Tang Water Pump Camel;1pcs;55.000;0 %;55.000;60.000;0 %;60.000;;
RJ1295;Aji;Tarikan Pintu Isco 45cm;Pcs;70.000;0 %;70.000;75.000;0 %;75.000;;
RJ1289;Aji;Tarikan Pintu Isco Bulat antik 35cm;Pcs;45.000;0 %;45.000;50.000;0 %;50.000;;
RJ1290;Aji;Tarikan Pintu Isco Kotak Antik 35cm;Pcs;45.000;0 %;45.000;50.000;0 %;50.000;;
RJ1296;Aji;Tarikan Pintu Isco Kotak Doff Polos 45cm;Pcs;70.000;0 %;70.000;75.000;0 %;75.000;;
RJ1260;AJI;Tekiro Black Foot-mata Obeng Angin;1pcs;8.000;0 %;8.000;10.000;0 %;10.000;;
RJ1261;AJI;Tekiro Bor Baterai Tosita 12v;1pcs;300.000;0 %;300.000;300.000;0 %;300.000;;
RJ1182;AJI;Tekiro Gembok Pdk 40mm Gt-PL1432;PCS;58.500;3500 %;58.500;40.000;0 %;40.000;;
RJ1183;AJI;Tekiro Gembok Pdk 50mm Gt-PL1433;PCS;77.500;3500 %;77.500;55.000;0 %;55.000;;
RJ1184;AJI;Tekiro Gembok Pdk 60mm Gt-PL1434;PCS;97.000;3500 %;97.000;65.000;0 %;65.000;;
RJ1185;AJI;Tekiro Gembok Pjg 40mm Gt-PL1436;PCS;66.000;3500 %;66.000;45.000;0 %;45.000;;
RJ1186;AJI;Tekiro Gembok Pjg 50mm GT-PL1437;PCS;82.000;3500 %;82.000;60.000;0 %;60.000;;
RJ1187;AJI;Tekiro Gembok Pjg 60mm GT-PL1438;PCS;102.500;3500 %;102.500;70.000;0 %;70.000;;
RJ1727;AJI;"Tekiro Gunting Multifungsi 7"" ";PCS;70.000;0 %;70.000;75.000;0 %;75.000;;
RJ1505;AJI;Tekiro Kikir Chain Saw 4.8x200 Mm;1pcs;21.500;4000 %;21.500;15.000;0 %;15.000;;
RJ1504;AJI;Tekiro Kikir Chain Saw 5.5x200 Mm;1pcs;21.500;4000 %;21.500;15.000;0 %;15.000;;
RJ1728;AJI;"Tekiro Kunci Inggris 10""";PCS;75.000;0 %;75.000;85.000;0 %;85.000;;
RJ1254;AJI;Tekiro L Panjang 4mm HK-L01168;1pcs;16.000;3500 %;16.000;11.000;0 %;11.000;;
RJ1255;AJI;Tekiro L Panjang 5mm HK-L01169;1pcs;23.500;3500 %;23.500;15.000;0 %;15.000;;
RJ1256;AJI;Tekiro L Panjang 6MM HK-L01170;1pcs;26.500;3500 %;26.500;17.500;0 %;17.500;;
RJ1181;AJI;Tekiro L Set Panjang 8pcs Hk-Ls1200;PCS;172.500;3000 %;172.500;130.000;0 %;130.000;;
RJ1252;AJI;Tekiro Mata Bor Besi 10,5mm;1pcs;140.040;2000 %;140.040;130.000;0 %;130.000;;
